"FA","IL1¦Â2","IL102","NFkB2","tnf3","hscrp3","crp3","lps","OGTT","OGTT2","insulin","homa2","quicki2"
"dbi1",-0.00101448902747689,-2.01487759672631e-05,0.0258222121269592,0.00938261885932579,-0.0156013604604947,-0.00295824961864671,0.381312970819673,0.0232623714426276,-0.0470757103024577,0.108028879033302,0.000155509936671661,0.000205567183837753
"dbi2",0.0177943151475095,-0.00703127879203301,-0.00133538980776044,0.00778264319458982,-0.0221253674518428,-0.0510461803560366,0.0969534296657983,-0.0228009190051892,-0.142907230473976,-0.902369995122212,-0.0117489819304406,0.00346076506331528
"dbi3",0.0155333593973164,0.0366597702790557,0.0575273707382288,0.0192752834926265,0.000163860028122593,-0.000668612101920593,0.491882564675114,0.0836068676552168,0.121500917839338,-0.477757941552831,0.00517014350089809,-0.00196628038952798
"dbi4",-0.00848989478117079,-0.0156598520239879,-0.0798967548955781,-0.0100049939741892,0.016199787698415,0.00111724553907927,-0.0106517591917713,0.0713600548189228,0.0903879334160926,-0.0613012728105689,0.00236282762190698,-0.00126170018004594
"dbi5",0.00735657631462438,-0.0401603125798607,-0.0253740960534537,-0.0285756127982026,0.0206477841702651,0.0154852618130097,1.24265028547721,-0.102235099584576,0.0617316688149595,1.69519731603084,0.0137426705438438,-0.00180848554478075
"dbi6",0.0068948855532776,-0.00942064702691852,-0.13393510227069,0.0190767541188595,0.0348771141565366,0.0336025330390479,0.827334802809749,0.1047361474301,0.220564340884654,-1.24083676497226,-0.00867856618432004,0.000726624403841142
"dbi7",-0.0219944602819752,-0.0656184124537733,-0.0785477482843188,-0.00530364956316746,0.00887131384473062,0.00831578048874568,0.659326013073448,0.0700067122368132,0.0753373132217428,-0.213756898457413,0.00209125341111658,-0.000618656063541005
"lbs",-0.00266951398910195,0.00188620935631542,0.00252578696290642,-0.00328530419021558,0.00737467601598182,0.0108947653978435,-0.436496341760857,-0.0125241912724122,-0.0191921745016363,0.150925599349231,-0.000255716052206264,9.86609047072243e-05
"hbs",0.000430069132667926,-0.0140780589227337,-0.0470502963986244,0.00505748839073473,0.0132821307033347,0.00705729212672096,0.136361742974402,0.109564606982882,0.0205418600794607,-0.149901017944018,-0.000206676900174203,-0.000198713364044832
"dqd",-0.00165794375209969,-0.00226107532750186,-0.0100548812710745,-0.000910317365778104,0.00821300996807603,0.00896112931672343,-0.259216941152157,0.0192643226196899,-0.00753130996752732,0.0628008636683817,-0.000222488763278044,1.5671592573787e-05
