"FA","IL1¦Â2","IL102","NFkB2","tnf3","hscrp3","crp3","lps","OGTT","OGTT2","insulin","homa2","quicki2"
"bmi",0.672156429833089,0.257869900097505,0.321233296155995,0.964034823211869,5.10849978119554e-07,1.49616832142765e-05,0.581056200740918,0.779325236184731,0.859360982508363,0.0356135923205784,0.000756874157855301,0.00282178822813758
"wc",0.844065828942796,0.931026593407442,0.448422320003448,0.894985428988241,0.000622783752852798,0.00353926136729629,0.660333563703297,0.82107767886149,0.46891275983929,0.106303357592022,0.00269828305662075,0.00149079559138728
"wh",0.718994099010767,0.852311001091295,0.85780339823656,0.831741092273945,0.42577184003572,0.225392958833316,0.611914076974761,0.758551629406524,0.257648302775739,0.359662084881876,0.0897389353351249,0.0406349416217403
