"FA","IL1¦Â2","IL102","NFkB2","tnf3","hscrp3","crp3","lps","OGTT","OGTT2","insulin","homa2","quicki2"
"C140p",-0.315572521111621,0.17982151450242,0.325389076916898,-0.020188560195724,-0.0594623347757712,-0.12116957845022,-5.51435627622945,2.38735535189071,2.10707432621072,-3.18898681328145,0.182877414919761,-0.0694816451619911
"C150p",-0.571280612798387,-0.33443303565146,3.77379248573902,-0.586936481373278,-0.248189002157045,0.27362952294619,-52.8291839037914,1.26646355368094,4.65486338127491,-24.8625709214743,-0.327638047419206,0.0355040009358827
"C160p",-0.0168363474555803,0.0582629457970747,0.00228683043633843,-0.00328097809157737,-0.00278528858199632,0.000438557298473809,1.46094475094037,0.060875310648468,-0.0850603766737787,0.608926746275976,0.0143795207060131,-0.00363612449464365
"C161p",-0.117210291460978,-0.0429436048651393,-0.0904534268979418,0.0173877672624879,0.0399156556699108,0.0524156155231308,-5.02478046936974,0.387294877777642,-0.142869262248587,-2.0786244094867,0.0218672543218143,-0.00856542544467127
"C170p",-0.174272015760796,0.448112594701775,4.30922467871493,1.47575104712702,-1.74182063890216,-1.84590778059699,31.4828215391604,3.01227871463637,11.4470387192021,-83.1943617613741,-0.230801208595334,-0.0956598978946395
"C180p",-0.0072541667806185,0.0401168857428957,0.0335398751531112,0.00187495837178186,-0.0187789366708116,-0.0199081497059809,1.68570766519904,-0.0729265057659602,-0.164724311484853,0.483337731973265,0.00848823412098709,-0.00173300174347027
"C181n9cp",0.0111940199077017,0.00308096885778306,0.0370195466286379,0.0194049861221614,0.0170448684597548,0.00846405621239147,-1.07031101757387,0.174411433564887,0.27927314129393,-0.63136469094076,0.000341751012018581,-0.00102050953895566
"C182n6p",0.0047395648345796,-0.0334601090305426,-0.0191931601962116,-0.0128860514329797,0.00409865040582569,0.005048444900587,-0.734351922551234,-0.018219524312441,0.00720183093832879,-0.337577744120023,-0.0108465914615797,0.00285969029760345
"C183n6p",-0.290179238414056,-0.901902215131393,-1.08531750217274,0.189146251215317,-0.376713591423934,-0.0162250583726895,-14.4444636743387,-2.19511014839381,-1.7212821052217,3.44875678895193,-0.0171539320535352,0.0106757130081755
"C183n3p",-0.0727531539530598,-0.385293852006709,-0.269503201574041,-0.218457549326509,-0.113757999918715,-0.100494444641314,-16.3126746470325,1.56365256706352,3.69596842848354,-2.62612241071064,0.0232534516204566,-0.016580554595858
"C203n6p",-0.189394170024509,-0.260992773232514,-0.15265334226485,-0.0586125699320137,0.0357090664633302,-0.0987342693484965,-1.57958489334075,-0.981624985892747,-1.41022381777616,0.618219526391399,0.0210577695467598,-0.00165449093187912
"C204n6p",0.0238991180722016,-0.0320626371642934,-0.059244625317131,0.0344848346400523,0.0136631063658166,0.0238197272557885,-0.823688322755958,-0.17139545906523,-0.121229318786377,0.708929013307487,0.00142893895577522,0.000250607100960996
"C205n3p",-0.0748874456891498,-0.197851957787483,-0.725493308075601,-0.359013979026034,-0.545229986737184,-0.391489105694946,-17.3440741982604,-0.425303990214662,1.59381519424755,-5.50865327627208,-0.0134765965570899,-0.00184273169891443
"C226n3p",-0.0486033668998906,0.0123546978551835,-0.18466147815345,-0.0992482321201195,-0.0750629364998126,-0.0489027109955614,-0.609554135641907,-0.526826418906227,0.266495795143807,-0.735957866066206,-0.0416983040202002,0.0144790863772413
"sfa",-0.00198745041773341,0.020289863510831,0.0506320706849229,0.0146423860467044,-0.0163227230152904,-0.0141334493559115,1.13632675575353,-0.0153891068238758,-0.101852858063671,0.09904576399761,0.00227598845507089,-0.00042454953838537
"mufa",0.0111940199077017,0.00308096885778306,0.0370195466286379,0.0194049861221614,0.0170448684597548,0.00846405621239147,-1.07031101757387,0.174411433564887,0.27927314129393,-0.63136469094076,0.000341751012018581,-0.00102050953895566
"pufa",0.0110951831287039,-0.0341518260304718,-0.00789292456962485,-0.0107866224195362,-0.00305328081731784,0.012248136331311,-0.547012769985199,-0.0865225825278469,-0.0132049935458309,-0.0870592774787815,-0.0102021078741493,0.00311963595737574
"n3",-0.0378480511378272,-0.00451766070544884,-0.181374405402565,-0.165364655458927,-0.116850750877622,-0.0877145688001571,-3.91574519108841,-0.281936733540894,0.399355760638634,-0.439784281967147,-0.0194650855541387,0.00655693215146883
"n6",0.0109019794645003,-0.0361532253768952,-0.0164168627644579,-0.00558586882344002,0.00271486286497077,0.00920443712816154,-0.392029914012495,-0.0690298724378863,-0.0122541683538094,-0.0241193120774595,-0.00875380944145541,0.00277668212717614
"scd16",-2.88379856249524,-2.36325439351718,-0.403253423066011,0.974020493742602,1.5717348585019,1.69498060604228,-188.222579686044,9.09127448591668,-2.21300553705623,-72.0697920018201,0.159961964094194,-0.117380393517017
"scd18",0.0690412449494003,-0.0905607306298534,0.112279209319037,0.0186810485675399,0.116592053241526,0.0831538846245453,-9.61507224137822,0.846733949708963,1.44211670073192,-2.27841103856226,-0.00644810462683068,-0.00272339706253991
"d6d",-9.94245234870563,-16.987812942783,-32.3047742576806,8.42150674799809,-10.7786633919138,-2.7746667127297,-346.911015572361,-45.8415931450227,-42.3426798538125,138.494803173269,1.92132274811315,-0.3753658636243
"d5d",0.0146358380534766,-0.00406098035767654,-0.00572482776666788,0.0102702215472209,0.000105875467593949,0.0121624981795963,-0.138276445520935,0.0306534281647117,0.0813557288021858,0.0984286542312533,-0.000479326042809993,-0.000134153693260892
