"FA","bmi","wc","wh"
"dbi1",0.0645306244788687,0.115106556240129,-0.000685016203442627
"dbi2",-0.21042372694081,-0.270330689897029,-0.00106900303425004
"dbi3",-0.350351581864566,-0.651459595538738,-0.0036428854115189
"dbi4",0.0126819958026653,0.141157055609567,0.00164772512823825
"dbi5",0.513851415403649,0.84074976430578,0.0033158477402591
"dbi6",0.72099097610787,1.80015942999663,0.00416874369547248
"dbi7",-0.551947977458766,-0.949863054470585,-0.00167796869797015
"lbs",0.123875091403898,0.12880878049728,0.000465710584678942
"hbs",0.263377930910386,0.463633754058168,0.000557389815764342
"dqd",0.144218779071364,0.197076492017231,0.000434744425136741
