"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"bmi",0.514410540828336,0.154311874112899,0.0685121653364257,0.995237510422221,0.633622333877975,0.754609293580118,0.329192619550867,0.179183790347848,0.273955077592394,0.899651410248746,0.0487127866184298,0.912177333178539,0.449361856145222
"wc",0.125080439881718,0.0904610539870407,0.0663663740990532,0.530870035486808,0.323012546999184,0.463528669881237,0.493373786527879,0.20767686643092,0.194256070417431,0.457414200485404,0.0255673429141561,0.515316065880993,0.226339578663903
"wh",0.126342715432663,0.829932527927371,0.322212913250864,0.250929739939844,0.168105505656568,0.977232663566086,0.860074566195289,0.156793320839646,0.869005012141109,0.183216521645961,0.610516105501601,0.199194040546176,0.183241780551531
