"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"bmi",-0.00472621287817965,-0.0329893666605933,-0.0153474244404336,0.00380281807825028,-0.00100688088069864,0.000455852793652371,0.00496357161216328,-0.00847551563697158,-0.0148129095382317,0.00170530694294214,-0.0219311978923125,0.0100082724482478,-0.00361603743441406
"wc",-0.00698690456949204,-0.0126985809653852,-0.00533871605729169,-0.000888158520704513,-0.000879218461142989,-0.00125635836383104,0.00138082669948617,-0.00210923487835002,-0.0043379182263291,0.0043066699474257,-0.0091872641696082,-0.0010985915057134,-0.00221956271159495
"wh",-2.24638053364475,1.72605120543516,-0.589994562142064,-0.976675907561268,-0.218805383709354,0.0337438067714334,0.0304403441323094,-0.609457955140126,0.707224519342141,0.846355367322802,-0.307842502752232,1.78789718862723,-0.872095327818144
